,SOQL Query
48,"SELECT FirstName,Rating FROM Lead ORDER BY LeadSource DESC"
49,"SELECT org62_Chatter_Link__c,Country FROM User GROUP BY JobFamily__c"
50,"SELECT Name,ShippingCity FROM Order ORDER BY Name DESC"
51,"SELECT LastName,Rating FROM Lead ORDER BY Name DESC"
52,"SELECT Status,ShippingCountry,Status FROM Order"
53,"SELECT LastName,Name FROM Contact ORDER BY LastName NULLS LAST"
54,"SELECT Type,Website FROM Account ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
55,"SELECT TotalAmount,Status FROM Order GROUP BY BillingState"
56,"SELECT Name,MiddleName FROM Lead ORDER BY AnnualRevenue DESC"
57,"SELECT ShippingCountry,Name FROM Order ORDER BY OrderedDate DESC"
58,"SELECT GrandTotalAmount,BillingState FROM Order GROUP BY BillingCountry"
59,"SELECT AccountId,LeadSource FROM Contact ORDER BY LastName DESC NULLS LAST"
60,"SELECT Id,Name FROM Asset ORDER BY Quantity NULLS LAST LIMIT 1"
61,"SELECT AnnualRevenue,Description FROM Lead ORDER BY FirstName DESC NULLS LAST"
62,"SELECT IsConverted,FirstName FROM Lead ORDER BY LeadSource DESC"
63,"SELECT ContactEmail,Origin FROM Case GROUP BY Type"
64,"SELECT Id,Phone FROM Lead ORDER BY Name NULLS LAST"
65,SELECT Business_Unit__c FROM User GROUP BY JobFamily__c
66,"SELECT Rating,NumberOfEmployees FROM Lead ORDER BY LeadSource DESC"
67,"SELECT BillingPhoneNumber,ShippingState FROM Order ORDER BY OrderedDate"
68,SELECT BillingPostalCode FROM Account GROUP BY Type
69,"SELECT SerialNumber,Quantity FROM Asset ORDER BY Name DESC NULLS LAST"
70,SELECT Country FROM User GROUP BY Business_Unit__c
71,"SELECT Id,MiddleName FROM Contact ORDER BY FirstName DESC"
72,"SELECT Reason,ContactId,Reason FROM Case"
73,"SELECT CaseNumber,AccountId,CaseNumber FROM Case"
74,"SELECT IsClosed,OwnerId FROM Opportunity ORDER BY Name"
75,"SELECT FirstName,Country FROM Lead ORDER BY Rating DESC"
76,"SELECT Rating,State FROM Lead ORDER BY Rating DESC NULLS LAST"
77,"SELECT ContactId,Description FROM Asset ORDER BY Price DESC"
78,"SELECT ShippingCity,Type FROM Order GROUP BY BillingCountry"
79,"SELECT State,MobilePhone FROM Lead GROUP BY Status"
80,"SELECT Rating,Country FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
81,"SELECT Description,Type,Description FROM Case"
82,"SELECT Url,Description FROM Document"
83,"SELECT Name,Website FROM Account GROUP BY BillingCity"
84,"SELECT org62_Chatter_Link__c,Division FROM User"
85,SELECT ShippingCity FROM Order GROUP BY BillingCity
86,SELECT Industry FROM Account
87,"SELECT LeadSource,Department FROM Contact GROUP BY Department"
88,"SELECT Name,MiddleName FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
89,"SELECT Id,Rating FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
90,"SELECT Price,Quantity FROM Asset ORDER BY Price DESC NULLS LAST"
91,"SELECT ShippingCity,OwnerId,ShippingCity FROM Order"
92,"SELECT Email,NumberOfEmployees FROM Lead GROUP BY Rating"
93,"SELECT Comments,CaseNumber FROM Case ORDER BY ClosedDate NULLS LAST"
94,"SELECT AccountId,TotalAmount FROM Order ORDER BY GrandTotalAmount DESC"
95,"SELECT Department,Id FROM Contact ORDER BY Department DESC NULLS LAST"
96,"SELECT BillingCity,Description FROM Account ORDER BY NumberOfEmployees NULLS LAST"
97,"SELECT ContactId,Name FROM Opportunity ORDER BY LeadSource DESC"
98,"SELECT Email,City FROM User ORDER BY FirstName"
99,"SELECT BillingPhoneNumber,ShippingState FROM Order ORDER BY Name DESC NULLS LAST"
100,"SELECT FirstName,Company FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST"
101,"SELECT Id,Url FROM Document ORDER BY Name DESC"
102,"SELECT Description,Type FROM Case ORDER BY ClosedDate DESC NULLS LAST"
103,"SELECT Company,LastName FROM Lead ORDER BY FirstName DESC"
104,"SELECT BillingState,AccountId FROM Order ORDER BY OrderedDate DESC"
105,SELECT FiscalYear FROM Opportunity GROUP BY Type
106,"SELECT ManagerId,JobProfile__c FROM User ORDER BY FirstName"
107,"SELECT Name,SerialNumber FROM Asset ORDER BY Name NULLS LAST"
108,"SELECT Status,Company FROM Lead ORDER BY Rating DESC"
109,"SELECT org62_Chatter_Link__c,IsActive FROM User ORDER BY Name DESC NULLS LAST"
110,"SELECT Name,AccountId FROM Asset ORDER BY SerialNumber DESC"
111,"SELECT AnnualRevenue,Id FROM Account ORDER BY AnnualRevenue NULLS LAST"
112,"SELECT Id,Name FROM Asset ORDER BY Quantity"
113,"SELECT BillingCountry,AnnualRevenue FROM Account ORDER BY NumberOfEmployees NULLS LAST"
114,"SELECT State,MobilePhone FROM Lead"
115,"SELECT Phone,Company FROM Lead ORDER BY LeadSource DESC NULLS LAST"
116,"SELECT Email,Business_Unit__c FROM User GROUP BY Country"
117,"SELECT Username,EmployeeNumber FROM User ORDER BY FirstName"
118,"SELECT FirstName,Name FROM Contact ORDER BY LeadSource DESC"
119,"SELECT NumberOfEmployees,Description FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
120,"SELECT IsConverted,FirstName FROM Lead GROUP BY City"
121,"SELECT EmployeeNumber,FirstName FROM User GROUP BY City"
122,"SELECT FirstName,Rating FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
123,"SELECT Name,AccountId FROM Asset ORDER BY Quantity NULLS LAST LIMIT 1"
124,"SELECT MiddleName,Name,MiddleName FROM Contact"
125,"SELECT IsConverted,MobilePhone FROM Lead ORDER BY LastName DESC"
126,"SELECT Id,Rating FROM Lead ORDER BY LeadSource NULLS LAST"
127,"SELECT AuthorId,DeveloperName FROM Document ORDER BY Name DESC NULLS LAST"
128,"SELECT BillingCountry,BillingCity FROM Order"
129,"SELECT BillingCountry,NumberOfEmployees FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
130,"SELECT BillingStreet,BillingCountry FROM Account GROUP BY BillingState"
131,"SELECT Name,BillingCity FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
132,"SELECT MobilePhone,State FROM Lead ORDER BY FirstName DESC"
133,SELECT Id FROM Order
134,"SELECT BillingCountry,OwnerId FROM Order GROUP BY BillingState"
135,"SELECT Status,OwnerId FROM Order ORDER BY Name DESC NULLS LAST"
136,SELECT OrderedDate FROM Order
137,"SELECT Business_Unit__c,Username FROM User ORDER BY Name NULLS LAST"
138,"SELECT CaseNumber,IsClosed FROM Case"
139,"SELECT Division,MiddleName FROM User GROUP BY State"
140,"SELECT Email,Region__c FROM User ORDER BY Department DESC"
141,"SELECT ShippingState,Description FROM Order ORDER BY GrandTotalAmount DESC"
142,SELECT Type FROM Order GROUP BY BillingState
143,"SELECT Type,NumberOfEmployees FROM Account GROUP BY BillingCountry"
144,"SELECT AccountId,Description FROM Contact ORDER BY Department"
145,"SELECT LeadSource,ContactId FROM Opportunity ORDER BY Name DESC NULLS LAST"
146,"SELECT LeadSource,Id FROM Contact ORDER BY LastName DESC NULLS LAST"
147,SELECT Title FROM User GROUP BY JobFamily__c
148,"SELECT ContactId,Id FROM Opportunity ORDER BY Amount"
149,"SELECT Name,Phone FROM Contact ORDER BY FirstName DESC NULLS LAST"
150,"SELECT AccountNumber,BillingCity FROM Account ORDER BY Name"
151,"SELECT Status,City FROM Lead ORDER BY FirstName DESC NULLS LAST"
152,"SELECT Status,SerialNumber FROM Asset ORDER BY SerialNumber"
153,"SELECT AccountId,ShippingCity FROM Order ORDER BY TotalAmount DESC"
154,SELECT Name FROM User
155,"SELECT ContactPhone,Type FROM Case ORDER BY ClosedDate DESC"
156,"SELECT Id,DeveloperName FROM Document ORDER BY Name"
157,"SELECT Country,Business_Unit__c FROM User ORDER BY Department DESC"
158,"SELECT Id,OwnerId FROM Opportunity ORDER BY Probability DESC"
159,"SELECT LastName,Username FROM User ORDER BY FirstName DESC"
160,SELECT IsActive FROM User
161,"SELECT IsPersonAccount,Email FROM Contact ORDER BY Name DESC NULLS LAST"
162,"SELECT JobProfile__c,Title FROM User GROUP BY JobProfile__c"
163,"SELECT Department,Phone FROM Contact ORDER BY Department NULLS LAST"
164,SELECT LastName FROM User GROUP BY City
165,"SELECT Name,BillingCity FROM Order ORDER BY OrderedDate DESC NULLS LAST"
166,"SELECT ContactId,HasOpenActivity FROM Opportunity ORDER BY Amount NULLS LAST"
167,"SELECT Company,LastName FROM Lead ORDER BY FirstName"
168,"SELECT Industry,AccountNumber FROM Account GROUP BY Type"
169,"SELECT Email,Company FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
170,"SELECT Description,OwnerId FROM Opportunity ORDER BY Name NULLS LAST"
171,SELECT Business_Unit__c FROM User GROUP BY Division
172,"SELECT ShippingCity,Type FROM Order ORDER BY GrandTotalAmount DESC"
173,"SELECT ShippingCity,Type FROM Order ORDER BY GrandTotalAmount NULLS LAST"
174,"SELECT Ownership,AccountNumber FROM Account ORDER BY Name DESC NULLS LAST"
175,"SELECT LastName,Rating FROM Lead ORDER BY NumberOfEmployees DESC"
176,"SELECT Status,Company FROM Lead ORDER BY LastName NULLS LAST"
177,"SELECT FirstName,Rating FROM Lead ORDER BY FirstName"
178,"SELECT AccountId,ContactId FROM Asset ORDER BY Quantity DESC NULLS LAST"
179,"SELECT Status,City FROM Lead ORDER BY Rating DESC NULLS LAST LIMIT 1"
180,"SELECT AccountId,GrandTotalAmount FROM Order ORDER BY GrandTotalAmount NULLS LAST"
181,"SELECT HasOpenActivity,ContactId FROM Opportunity ORDER BY Amount DESC NULLS LAST"
182,"SELECT AccountId,NextStep FROM Opportunity ORDER BY Amount DESC NULLS LAST LIMIT 1"
183,"SELECT Status,ContactId,Status FROM Asset"
184,SELECT Id FROM Lead
185,"SELECT Body,IsPublic FROM Document GROUP BY Type"
186,"SELECT Type,Website FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
187,"SELECT AccountId,Id FROM Asset ORDER BY Price DESC NULLS LAST"
188,"SELECT Name,FirstName FROM User ORDER BY Department NULLS LAST"
189,"SELECT Business_Unit__c,Region__c FROM User ORDER BY FirstName DESC NULLS LAST"
190,"SELECT MobilePhone,Country FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
191,"SELECT IsActive,JobFamily__c FROM User ORDER BY LastName DESC NULLS LAST"
192,"SELECT Company,MobilePhone FROM Lead ORDER BY Rating"
193,"SELECT Email,Business_Unit__c FROM User ORDER BY FirstName DESC NULLS LAST"
194,"SELECT Probability,AccountId FROM Opportunity ORDER BY Name DESC NULLS LAST"
195,"SELECT Id,Phone FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
196,"SELECT IsClosed,OwnerId FROM Opportunity ORDER BY LeadSource NULLS LAST"
197,"SELECT Id,Name FROM Asset ORDER BY Price NULLS LAST"
198,"SELECT Id,MiddleName FROM Contact ORDER BY Department DESC NULLS LAST"
199,"SELECT Status,Description FROM Asset ORDER BY Price DESC NULLS LAST"
200,"SELECT FirstName,EmployeeNumber FROM User GROUP BY JobFamily__c"
201,"SELECT Website,Name FROM Account ORDER BY AnnualRevenue NULLS LAST"
202,"SELECT ContactId,Description FROM Case ORDER BY ClosedDate DESC NULLS LAST"
203,"SELECT ContactId,AssetLevel,ContactId FROM Asset"
204,"SELECT ShippingCountry,BillingState FROM Order ORDER BY TotalAmount DESC NULLS LAST"
205,"SELECT ShippingCountry,Name FROM Order ORDER BY Name NULLS LAST"
206,"SELECT State,MobilePhone FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
207,"SELECT BillingPhoneNumber,ShippingState FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST LIMIT 1"
208,"SELECT Rating,Country FROM Lead ORDER BY LeadSource"
209,"SELECT Company,State FROM Lead ORDER BY AnnualRevenue NULLS LAST"
210,"SELECT AnnualRevenue,Id FROM Account GROUP BY Type"
211,"SELECT Description,SerialNumber FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
212,"SELECT AccountId,UserRoleId FROM User ORDER BY Name"
213,"SELECT Ownership,Id FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
214,"SELECT LeadSource,AccountId FROM Contact GROUP BY Department"
215,"SELECT Rating,NumberOfEmployees FROM Lead ORDER BY AnnualRevenue"
216,SELECT Id FROM User GROUP BY JobProfile__c
217,"SELECT Id,ContentType FROM Document GROUP BY Type"
218,"SELECT Status,SerialNumber FROM Asset ORDER BY Price DESC"
219,"SELECT AccountId,Division FROM User GROUP BY Department"
220,"SELECT Id,BillingCountry FROM Order GROUP BY BillingCountry"
221,"SELECT IsConverted,Id FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
222,"SELECT ShippingCountry,BillingState FROM Order ORDER BY GrandTotalAmount"
223,"SELECT BillingState,GrandTotalAmount,BillingState FROM Order"
224,"SELECT AccountId,ShippingCountry FROM Order ORDER BY TotalAmount"
225,"SELECT Phone,Company FROM Lead ORDER BY LastName DESC"
226,"SELECT Type,IsPersonAccount FROM Account ORDER BY Name DESC NULLS LAST"
227,SELECT Reason FROM Case GROUP BY Status
228,"SELECT Id,Phone FROM Lead ORDER BY NumberOfEmployees DESC"
229,"SELECT Industry,Ownership FROM Account GROUP BY BillingState"
230,"SELECT Description,AccountId FROM Asset ORDER BY Quantity DESC NULLS LAST"
231,"SELECT OwnerId,Amount FROM Opportunity ORDER BY Probability NULLS LAST"
232,"SELECT AccountId,Title FROM User ORDER BY LastName NULLS LAST"
233,"SELECT SerialNumber,Id FROM Asset ORDER BY Price NULLS LAST"
234,"SELECT ContactId,HasOpenActivity FROM Opportunity ORDER BY Amount DESC NULLS LAST LIMIT 1"
235,SELECT OwnerId FROM Order
236,"SELECT Name,Website FROM Account GROUP BY Type"
237,"SELECT FirstName,Rating FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
238,"SELECT TotalAmount,Status FROM Order ORDER BY Name"
239,"SELECT FiscalQuarter,Description FROM Opportunity ORDER BY Amount DESC"
240,"SELECT LeadSource,Id FROM Lead ORDER BY LastName DESC NULLS LAST"
241,"SELECT Description,EndDate FROM Order ORDER BY Name NULLS LAST"
242,"SELECT Status,BillingCountry FROM Order ORDER BY Name"
243,"SELECT Name,BillingStreet FROM Account ORDER BY AnnualRevenue NULLS LAST"
244,"SELECT Phone,Description FROM Lead ORDER BY Rating DESC"
245,"SELECT Type,BillingStreet,Type FROM Account"
246,"SELECT Ownership,Name FROM Account GROUP BY BillingState"
247,"SELECT Quantity,Status FROM Asset ORDER BY Price DESC NULLS LAST LIMIT 1"
248,"SELECT Description,Keywords FROM Document ORDER BY Name DESC"
249,"SELECT HasOpenActivity,ContactId FROM Opportunity ORDER BY Probability DESC NULLS LAST"
250,"SELECT SerialNumber,Quantity FROM Asset ORDER BY Price DESC"
251,"SELECT AssetLevel,Status FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
252,"SELECT LeadSource,Id FROM Contact ORDER BY FirstName NULLS LAST"
253,"SELECT LeadSource,OwnerId FROM Opportunity ORDER BY LeadSource NULLS LAST"
254,SELECT MobilePhone FROM Lead GROUP BY Country
255,"SELECT AssetLevel,Status FROM Asset ORDER BY SerialNumber NULLS LAST"
256,"SELECT Ownership,BillingCity FROM Account ORDER BY Name NULLS LAST"
257,"SELECT AccountId,Amount FROM Opportunity ORDER BY Name NULLS LAST"
258,"SELECT Type,NumberOfEmployees FROM Account ORDER BY AnnualRevenue NULLS LAST"
259,"SELECT IsClosed,FiscalQuarter FROM Opportunity ORDER BY Name"
260,"SELECT FirstName,Rating FROM Lead ORDER BY Rating"
261,"SELECT MiddleName,Department,MiddleName FROM Contact"
262,"SELECT Status,Country FROM Lead ORDER BY LeadSource DESC"
263,"SELECT Id,Status FROM Asset ORDER BY Price DESC NULLS LAST"
264,"SELECT AccountId,ContactId FROM Asset GROUP BY AssetLevel"
265,"SELECT LastName,Email FROM Lead GROUP BY IsConverted"
266,"SELECT LeadSource,Id FROM Contact ORDER BY LastName DESC"
267,"SELECT MiddleName,State FROM Lead ORDER BY Rating DESC"
268,"SELECT GrandTotalAmount,Status FROM Order ORDER BY TotalAmount DESC NULLS LAST"
269,"SELECT EndDate,Name FROM Order ORDER BY OrderedDate DESC"
270,"SELECT Id,BillingCountry FROM Order ORDER BY Name DESC"
271,"SELECT Quantity,AssetLevel,Quantity FROM Asset"
272,"SELECT Department,IsActive FROM User ORDER BY FirstName"
273,"SELECT AboutMe,FirstName FROM User GROUP BY Business_Unit__c"
274,"SELECT IsPersonAccount,Id FROM Contact ORDER BY FirstName DESC NULLS LAST"
275,"SELECT AccountId,NextStep FROM Opportunity"
276,"SELECT MiddleName,Description FROM Contact ORDER BY FirstName DESC"
277,"SELECT Status,Description FROM Asset ORDER BY Price DESC"
278,"SELECT LeadSource,Department FROM Contact ORDER BY LastName NULLS LAST"
279,"SELECT Type,LeadSource FROM Opportunity ORDER BY Probability NULLS LAST"
280,"SELECT City,MiddleName FROM User GROUP BY JobProfile__c"
281,"SELECT Email,LastName FROM Contact ORDER BY Department"
282,"SELECT BillingCity,BillingPostalCode FROM Account ORDER BY Name DESC"
283,"SELECT Id,OwnerId FROM Opportunity ORDER BY Probability"
284,"SELECT AccountId,UserRoleId FROM User ORDER BY Department NULLS LAST"
285,"SELECT LeadSource,Id FROM Lead GROUP BY Country"
286,"SELECT LastName,Id FROM Lead"
287,"SELECT BillingState,BillingStreet FROM Account ORDER BY Name NULLS LAST"
288,"SELECT Id,Name FROM Asset ORDER BY SerialNumber DESC NULLS LAST"
289,"SELECT Email,UserType FROM User GROUP BY Country"
290,"SELECT Status,AccountId FROM Case ORDER BY ClosedDate NULLS LAST"
291,"SELECT ContactId,Id FROM Opportunity ORDER BY LeadSource NULLS LAST"
292,"SELECT Email,Rating FROM Lead ORDER BY FirstName"
293,"SELECT Email,Company FROM Lead ORDER BY LastName NULLS LAST"
294,"SELECT IsActive,JobFamily__c FROM User ORDER BY FirstName NULLS LAST"
295,"SELECT IsPersonAccount,Ownership FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
296,"SELECT BillingStreet,Website FROM Account ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
297,"SELECT NumberOfEmployees,BillingCountry FROM Account ORDER BY NumberOfEmployees"
298,"SELECT AccountId,Division FROM User ORDER BY Name DESC NULLS LAST"
299,"SELECT Rating,NumberOfEmployees FROM Lead ORDER BY LastName DESC NULLS LAST"
300,"SELECT IsClosed,LeadSource FROM Opportunity ORDER BY Amount DESC"
301,"SELECT NextStep,OwnerId FROM Opportunity ORDER BY Name DESC NULLS LAST"
302,"SELECT Email,Rating FROM Lead ORDER BY LastName"
303,"SELECT Type,OwnerId FROM Order ORDER BY OrderedDate NULLS LAST"
304,"SELECT AccountId,Id FROM Asset"
305,"SELECT org62_Chatter_Link__c,Country FROM User GROUP BY Country"
306,"SELECT AccountId,LastName FROM Contact GROUP BY Department"
307,"SELECT IsConverted,MobilePhone FROM Lead ORDER BY AnnualRevenue DESC"
308,"SELECT BillingPhoneNumber,ShippingState FROM Order ORDER BY TotalAmount DESC"
309,"SELECT Description,EndDate FROM Order ORDER BY Name DESC"
310,"SELECT ShippingCountry,BillingState FROM Order ORDER BY TotalAmount"
311,"SELECT Name,OrderedDate FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
312,"SELECT Name,OwnerId FROM Opportunity ORDER BY Name DESC"
313,"SELECT AccountId,ContactId FROM Asset ORDER BY Quantity NULLS LAST"
314,"SELECT Ownership,BillingCity FROM Account GROUP BY BillingState"
315,"SELECT JobProfile__c,Email FROM User ORDER BY LastName"
316,"SELECT State,JobFamily__c FROM User ORDER BY Name"
317,"SELECT BillingPostalCode,AccountNumber FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
318,"SELECT Id,Name FROM Lead ORDER BY LeadSource DESC NULLS LAST"
319,"SELECT JobProfile__c,Email FROM User"
320,"SELECT Author.Name,DeveloperName FROM Document ORDER BY Name DESC NULLS LAST"
321,SELECT count(id) FROM Lead GROUP BY City
322,"SELECT SerialNumber,AssetLevel FROM Asset ORDER BY SerialNumber DESC"
323,"SELECT CaseNumber,AccountId FROM Case ORDER BY ClosedDate DESC NULLS LAST"
324,"SELECT State,Rating FROM Lead ORDER BY Rating NULLS LAST"
325,SELECT Name FROM User GROUP BY Division
326,"SELECT LastName,Id FROM Lead ORDER BY AnnualRevenue"
327,"SELECT ContactPhone,CaseNumber FROM Case"
328,"SELECT MobilePhone,State FROM Lead GROUP BY Rating"
329,"SELECT State,UserType FROM User ORDER BY FirstName NULLS LAST"
330,"SELECT Rating,Country FROM Lead ORDER BY LastName NULLS LAST"
331,"SELECT Industry,AccountNumber FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
332,"SELECT Name,Price FROM Asset ORDER BY Price NULLS LAST LIMIT 1"
333,"SELECT Type,ShippingCity,Type FROM Order"
334,SELECT Rating FROM Lead
335,"SELECT BillingPostalCode,AccountNumber FROM Account ORDER BY NumberOfEmployees"
336,"SELECT LastName,Status FROM Lead ORDER BY LeadSource DESC NULLS LAST"
337,"SELECT Email,MiddleName FROM Contact ORDER BY FirstName DESC"
338,"SELECT Description,FirstName FROM Contact ORDER BY Department DESC NULLS LAST"
339,"SELECT Email,Division FROM User ORDER BY Name DESC NULLS LAST"
340,"SELECT IsEscalated,Type,IsEscalated FROM Case"
341,"SELECT BillingCity,ShippingState FROM Order ORDER BY Name"
342,"SELECT Status,OwnerId FROM Order ORDER BY Name DESC"
343,"SELECT Id,Company FROM Lead GROUP BY Country"
344,"SELECT EndDate,Name FROM Order GROUP BY BillingState"
345,"SELECT BillingCountry,TotalAmount FROM Order ORDER BY GrandTotalAmount NULLS LAST LIMIT 1"
346,"SELECT Id,Phone FROM Lead GROUP BY City"
347,"SELECT BillingCountry,NumberOfEmployees FROM Account GROUP BY BillingState"
348,SELECT Department FROM User GROUP BY Country
349,"SELECT Type,AnnualRevenue FROM Account GROUP BY BillingState"
350,"SELECT Phone,Website FROM Account GROUP BY BillingCountry"
351,"SELECT Amount,Type FROM Opportunity ORDER BY Amount"
352,"SELECT Company,LastName FROM Lead GROUP BY City"
353,"SELECT Industry,AnnualRevenue FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
354,SELECT NumberOfEmployees FROM Account
355,"SELECT IsPersonAccount,BillingPostalCode FROM Account ORDER BY NumberOfEmployees NULLS LAST"
356,"SELECT Status,ContactId FROM Case ORDER BY ClosedDate"
357,"SELECT Country,MiddleName FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
358,"SELECT ShippingCountry,Name FROM Order ORDER BY GrandTotalAmount NULLS LAST LIMIT 1"
359,"SELECT AccountId,UserRoleId FROM User GROUP BY JobFamily__c"
360,"SELECT LeadSource,Id FROM Contact ORDER BY Name DESC NULLS LAST"
361,"SELECT BillingPhoneNumber,ShippingCountry FROM Order ORDER BY GrandTotalAmount NULLS LAST"
362,"SELECT JobProfile__c,Title FROM User ORDER BY LastName DESC"
363,"SELECT OwnerId,EndDate FROM Order GROUP BY BillingState"
364,"SELECT OwnerId,GrandTotalAmount FROM Order ORDER BY OrderedDate DESC NULLS LAST"
365,"SELECT SerialNumber,Status FROM Asset ORDER BY SerialNumber"
366,"SELECT ContactId,Name FROM Opportunity ORDER BY LeadSource NULLS LAST"
367,"SELECT ShippingCity,Type FROM Order ORDER BY TotalAmount NULLS LAST"
368,SELECT IsPersonAccount FROM Contact GROUP BY Department
369,"SELECT Description,SerialNumber FROM Asset ORDER BY Quantity DESC"
370,"SELECT Description,OwnerId FROM Case ORDER BY ClosedDate NULLS LAST"
371,"SELECT Department,LeadSource FROM Contact ORDER BY Name"
372,"SELECT org62_Chatter_Link__c,IsActive FROM User GROUP BY JobFamily__c"
373,"SELECT Id,Phone FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
