,SOQL Query
57,"SELECT ContactId,Description FROM Asset ORDER BY Name NULLS LAST"
58,"SELECT AccountId,AccountId FROM User"
59,"SELECT Username,EmployeeNumber FROM User ORDER BY FirstName DESC NULLS LAST"
60,"SELECT Division,MiddleName FROM User ORDER BY FirstName DESC NULLS LAST"
61,"SELECT State,IsConverted FROM Lead ORDER BY Name DESC NULLS LAST"
62,"SELECT EndDate,Name FROM Order GROUP BY BillingCity"
63,"SELECT Quantity,ContactId FROM Asset ORDER BY SerialNumber DESC"
64,"SELECT Name,Title FROM User ORDER BY Name NULLS LAST"
65,"SELECT Description,BillingStreet FROM Account GROUP BY BillingState"
66,"SELECT NumberOfEmployees,Phone FROM Lead GROUP BY City"
67,"SELECT ContactPhone,CaseNumber FROM Case ORDER BY ClosedDate"
68,"SELECT Id,Department FROM Contact ORDER BY Name NULLS LAST"
69,"SELECT Rating,MiddleName FROM Lead GROUP BY Country"
70,"SELECT Department,AccountId FROM Contact ORDER BY Department DESC NULLS LAST"
71,"SELECT BillingCountry,AnnualRevenue FROM Account ORDER BY Name DESC"
72,"SELECT Email,Rating FROM Lead ORDER BY Rating"
73,"SELECT Region__c,Business_Unit__c FROM User ORDER BY Name NULLS LAST"
74,"SELECT Type,NumberOfEmployees FROM Account ORDER BY NumberOfEmployees NULLS LAST"
75,"SELECT IsClosed,Type FROM Opportunity"
76,"SELECT Status,BillingCountry FROM Order ORDER BY GrandTotalAmount NULLS LAST"
77,"SELECT Id,Id FROM Asset ORDER BY SerialNumber"
78,"SELECT AnnualRevenue,Website FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
79,SELECT Department FROM User
80,"SELECT Industry,BillingCity,Industry FROM Account"
81,"SELECT ShippingState,ShippingState FROM Order ORDER BY GrandTotalAmount DESC"
82,"SELECT Origin,Comments FROM Case GROUP BY Type"
83,"SELECT IsPersonAccount,Email FROM Contact ORDER BY LastName DESC"
84,"SELECT Email,AccountId FROM Contact ORDER BY LeadSource NULLS LAST"
85,"SELECT BillingPhoneNumber,ShippingCountry FROM Order GROUP BY Status"
86,"SELECT IsPersonAccount,Name FROM Contact ORDER BY LeadSource NULLS LAST"
87,"SELECT Description,Description FROM Asset ORDER BY Quantity DESC NULLS LAST LIMIT 1"
88,"SELECT Rating,MiddleName FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST"
89,"SELECT Rating,MiddleName FROM Lead ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
90,SELECT AccountId FROM User
91,"SELECT BillingCountry,Industry FROM Account ORDER BY AnnualRevenue"
92,"SELECT Type,OwnerId FROM Order ORDER BY OrderedDate NULLS LAST"
93,"SELECT IsPersonAccount,BillingCity FROM Account GROUP BY Type"
94,"SELECT Rating,NumberOfEmployees FROM Lead GROUP BY Country"
95,"SELECT FiscalYear,Type FROM Opportunity ORDER BY Probability DESC NULLS LAST"
96,"SELECT LeadSource,Email FROM Contact GROUP BY Department"
97,"SELECT State,Country FROM Lead ORDER BY FirstName DESC NULLS LAST"
98,"SELECT BillingStreet,BillingCity FROM Account ORDER BY AnnualRevenue"
99,"SELECT Description,HasOpenActivity FROM Opportunity ORDER BY Amount NULLS LAST LIMIT 1"
100,"SELECT State,MiddleName FROM Lead ORDER BY NumberOfEmployees"
101,"SELECT AccountId,City FROM User ORDER BY Department DESC"
102,"SELECT GrandTotalAmount,EndDate FROM Order ORDER BY Name NULLS LAST"
103,"SELECT IsPersonAccount,BillingCity FROM Account GROUP BY BillingCity"
104,"SELECT BillingCity,Id,BillingCity FROM Order"
105,"SELECT ContentType,Url FROM Document GROUP BY Type"
106,SELECT JobFamily__c FROM User GROUP BY JobFamily__c
107,"SELECT Name,ContactId FROM Asset ORDER BY SerialNumber DESC NULLS LAST"
108,"SELECT FirstName,Email FROM User ORDER BY Department NULLS LAST"
109,"SELECT Description,MiddleName FROM Contact ORDER BY Name DESC NULLS LAST"
110,"SELECT FiscalYear,NextStep FROM Opportunity ORDER BY Probability NULLS LAST LIMIT 1"
111,"SELECT SerialNumber,SerialNumber FROM Asset ORDER BY Quantity DESC"
112,"SELECT Id,Id FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
113,"SELECT Description,ContactId FROM Asset ORDER BY Quantity DESC"
114,"SELECT Company,MobilePhone FROM Lead ORDER BY LastName DESC NULLS LAST"
115,"SELECT Description,Keywords FROM Document ORDER BY Name NULLS LAST"
116,SELECT Type FROM Order GROUP BY BillingCountry
117,"SELECT BillingPostalCode,AnnualRevenue FROM Account ORDER BY AnnualRevenue NULLS LAST"
118,"SELECT FirstName,Company FROM Lead GROUP BY Status"
119,"SELECT AccountId,TotalAmount FROM Order ORDER BY GrandTotalAmount DESC"
120,"SELECT AccountId,OrderedDate FROM Order ORDER BY GrandTotalAmount"
121,"SELECT Company,Id FROM Lead ORDER BY Name"
122,"SELECT Id,LeadSource FROM Opportunity ORDER BY Probability DESC NULLS LAST"
123,SELECT Status FROM Lead GROUP BY IsConverted
124,"SELECT ShippingCountry,Name FROM Order ORDER BY TotalAmount DESC"
125,"SELECT Type,NumberOfEmployees FROM Account ORDER BY Name DESC NULLS LAST"
126,"SELECT LeadSource,LeadSource FROM Contact ORDER BY LastName DESC NULLS LAST"
127,"SELECT AboutMe,UserRoleId FROM User ORDER BY Department NULLS LAST"
128,"SELECT MiddleName,MobilePhone FROM Lead ORDER BY LastName DESC NULLS LAST"
129,"SELECT ShippingCountry,EndDate FROM Order ORDER BY OrderedDate NULLS LAST"
130,"SELECT LeadSource,LeadSource FROM Contact ORDER BY FirstName"
131,SELECT org62_Chatter_Link__c FROM User GROUP BY City
132,"SELECT OwnerId,NextStep FROM Opportunity ORDER BY Amount NULLS LAST LIMIT 1"
133,"SELECT Id,IsPersonAccount FROM Contact GROUP BY Department"
134,"SELECT IsConverted,LastName FROM Lead GROUP BY City"
135,"SELECT Company,Id FROM Lead ORDER BY Rating DESC NULLS LAST"
136,"SELECT BillingPostalCode,AnnualRevenue FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
137,"SELECT Department,Department FROM Contact ORDER BY Name DESC"
138,"SELECT HasOpenActivity,Probability FROM Opportunity ORDER BY Amount NULLS LAST"
139,SELECT LastName FROM User GROUP BY City
140,"SELECT SerialNumber,Description FROM Asset ORDER BY Price"
141,"SELECT Division,Email FROM User ORDER BY Name DESC NULLS LAST"
142,"SELECT ContactId,ContactId,ContactId FROM Case"
143,"SELECT UserType,CompanyName FROM User GROUP BY JobProfile__c"
144,"SELECT Description,AccountId FROM Order ORDER BY Name NULLS LAST"
145,"SELECT Quantity,Name FROM Asset ORDER BY Price NULLS LAST"
146,"SELECT Website,Phone FROM Account ORDER BY Name NULLS LAST"
147,"SELECT LeadSource,Type FROM Opportunity"
148,"SELECT Id,Id FROM Opportunity ORDER BY Name NULLS LAST"
149,"SELECT IsClosed,Type FROM Opportunity ORDER BY LeadSource DESC NULLS LAST"
150,"SELECT Username,State FROM User ORDER BY Department DESC"
151,"SELECT Description,Id FROM Contact ORDER BY FirstName"
152,"SELECT Id,Department FROM Contact"
153,"SELECT Type,NextStep FROM Opportunity ORDER BY Probability DESC NULLS LAST LIMIT 1"
154,"SELECT Id,ContactId FROM Opportunity ORDER BY LeadSource DESC NULLS LAST"
155,SELECT MobilePhone FROM Lead GROUP BY State
156,"SELECT LeadSource,IsPersonAccount FROM Contact ORDER BY Department DESC NULLS LAST"
157,"SELECT BillingStreet,BillingCity FROM Account GROUP BY Type"
158,"SELECT Ownership,Phone FROM Account ORDER BY NumberOfEmployees"
159,SELECT DeveloperName FROM Document GROUP BY Type
160,SELECT AboutMe FROM User GROUP BY JobProfile__c
161,"SELECT Rating,Status FROM Lead ORDER BY LeadSource DESC NULLS LAST"
162,"SELECT MiddleName,Phone FROM Lead ORDER BY Name"
163,"SELECT Quantity,AssetLevel FROM Asset ORDER BY Quantity"
164,"SELECT ContactId,Price FROM Asset ORDER BY SerialNumber NULLS LAST"
165,"SELECT JobProfile__c,IsActive FROM User ORDER BY Name NULLS LAST"
166,"SELECT IsPersonAccount,Name FROM Contact ORDER BY LeadSource"
167,"SELECT Email,Company FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
168,"SELECT Price,Name FROM Asset ORDER BY Quantity DESC"
169,"SELECT TotalAmount,ShippingCountry FROM Order GROUP BY Status"
170,"SELECT BillingCountry,Industry FROM Account ORDER BY AnnualRevenue DESC NULLS LAST"
171,"SELECT Quantity,ContactId FROM Asset ORDER BY Name DESC NULLS LAST"
172,"SELECT Department,EmployeeNumber FROM User GROUP BY Division"
173,"SELECT Department,Department FROM Contact ORDER BY LastName DESC"
174,"SELECT org62_Chatter_Link__c,State FROM User ORDER BY Department NULLS LAST"
175,"SELECT Id,BillingCountry FROM Order ORDER BY GrandTotalAmount DESC"
176,"SELECT BillingStreet,BillingCity FROM Account ORDER BY AnnualRevenue DESC NULLS LAST LIMIT 1"
177,"SELECT FirstName,Email FROM User"
178,"SELECT Name,AccountId FROM Opportunity ORDER BY Name DESC"
179,"SELECT Phone,Description FROM Lead ORDER BY LeadSource DESC NULLS LAST"
180,"SELECT Name,TotalAmount FROM Order ORDER BY Name DESC"
181,"SELECT Email,LastName FROM Lead ORDER BY Name NULLS LAST"
182,"SELECT ContactId,AccountId FROM Asset ORDER BY Quantity DESC"
183,"SELECT Phone,BillingPostalCode FROM Account ORDER BY NumberOfEmployees DESC"
184,SELECT Description FROM Lead GROUP BY IsConverted
185,"SELECT MiddleName,Description FROM Lead ORDER BY LastName DESC NULLS LAST"
186,"SELECT HasOpenActivity,HasOpenActivity FROM Opportunity ORDER BY Amount"
187,"SELECT ContactEmail,IsEscalated FROM Case GROUP BY Status"
188,"SELECT MiddleName,State,MiddleName FROM Lead"
189,"SELECT Type,NextStep FROM Opportunity ORDER BY LeadSource NULLS LAST"
190,"SELECT IsConverted,NumberOfEmployees FROM Lead ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
191,"SELECT LastName,FirstName FROM Contact ORDER BY Department DESC NULLS LAST"
192,"SELECT MiddleName,Email FROM Lead ORDER BY Name"
193,"SELECT ManagerId,Business_Unit__c FROM User ORDER BY Name DESC NULLS LAST"
194,"SELECT BillingStreet,Website FROM Account ORDER BY AnnualRevenue DESC"
195,"SELECT Division,MiddleName FROM User GROUP BY JobProfile__c"
196,"SELECT BillingState,Status FROM Order ORDER BY GrandTotalAmount DESC NULLS LAST"
197,"SELECT NumberOfEmployees,Phone FROM Lead GROUP BY State"
198,"SELECT AccountNumber,BillingPostalCode FROM Account ORDER BY NumberOfEmployees"
199,"SELECT NumberOfEmployees,Phone FROM Lead ORDER BY FirstName DESC NULLS LAST"
200,"SELECT Description,OwnerId FROM Order ORDER BY OrderedDate DESC NULLS LAST"
201,"SELECT IsConverted,LastName FROM Lead ORDER BY AnnualRevenue DESC"
202,"SELECT AboutMe,State FROM User ORDER BY Name DESC NULLS LAST"
203,"SELECT Id,Rating FROM Lead ORDER BY LeadSource NULLS LAST"
204,"SELECT FirstName,Name FROM Contact ORDER BY LastName DESC NULLS LAST"
205,"SELECT LeadSource,Department FROM Contact ORDER BY LastName"
206,"SELECT LastName,CompanyName FROM User ORDER BY LastName"
207,"SELECT Description,Description FROM Asset ORDER BY SerialNumber"
208,SELECT BillingPhoneNumber FROM Order GROUP BY BillingState
209,"SELECT Origin,Comments FROM Case GROUP BY Status"
210,"SELECT Id,AccountId FROM Asset GROUP BY AssetLevel"
211,"SELECT ShippingState,BillingCountry FROM Order ORDER BY Name DESC"
212,"SELECT GrandTotalAmount,ShippingCountry FROM Order ORDER BY Name DESC"
213,"SELECT Name,Price FROM Asset ORDER BY Name DESC"
214,"SELECT LastName,Rating FROM Lead ORDER BY FirstName NULLS LAST"
215,"SELECT org62_Chatter_Link__c,State FROM User ORDER BY Department"
216,"SELECT LastName,Email FROM Lead ORDER BY Name NULLS LAST"
217,"SELECT BillingState,Description FROM Account ORDER BY AnnualRevenue"
218,SELECT IsActive FROM User GROUP BY Division
219,"SELECT Id,ContactId FROM Opportunity"
220,"SELECT Email,Rating FROM Lead ORDER BY FirstName"
221,"SELECT Status,Description FROM Asset ORDER BY Price NULLS LAST"
222,"SELECT UserType,ManagerId,UserType FROM User"
223,"SELECT BillingPostalCode,BillingState FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST LIMIT 1"
224,"SELECT IsActive,State FROM User GROUP BY Business_Unit__c"
225,"SELECT EndDate,Name FROM Order GROUP BY Type"
226,"SELECT Status,BillingCountry FROM Order GROUP BY Status"
227,"SELECT Department,Email FROM Contact ORDER BY LeadSource"
228,"SELECT Email,MiddleName FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
229,"SELECT Name,SerialNumber FROM Asset ORDER BY SerialNumber DESC NULLS LAST"
230,"SELECT AccountId,Department FROM Contact ORDER BY LeadSource NULLS LAST"
231,"SELECT Department,UserType FROM User ORDER BY LastName"
232,"SELECT IsEscalated,ContactEmail FROM Case ORDER BY ClosedDate NULLS LAST"
233,"SELECT Description,Body,Description FROM Document"
234,"SELECT Id,Id FROM Lead ORDER BY FirstName DESC NULLS LAST"
235,"SELECT AnnualRevenue,Website FROM Account GROUP BY BillingCountry"
236,"SELECT Name,TotalAmount FROM Order GROUP BY BillingCountry"
237,SELECT Status FROM Asset GROUP BY AssetLevel
238,"SELECT SerialNumber,Id FROM Asset ORDER BY Name DESC NULLS LAST"
239,"SELECT Status,AccountId FROM Asset ORDER BY Price DESC"
240,"SELECT Industry,Name FROM Account GROUP BY BillingState"
241,"SELECT ContentType,ContentType,ContentType FROM Document"
242,"SELECT BillingCity,Type FROM Order ORDER BY OrderedDate NULLS LAST"
243,"SELECT Phone,MiddleName,Phone FROM Contact"
244,"SELECT Id,State FROM Lead ORDER BY NumberOfEmployees DESC"
245,SELECT Id FROM Account GROUP BY BillingState
246,"SELECT org62_Chatter_Link__c,CompanyName FROM User GROUP BY JobProfile__c"
247,"SELECT IsPersonAccount,BillingCity FROM Account ORDER BY AnnualRevenue DESC"
248,"SELECT OwnerId,NextStep FROM Opportunity ORDER BY LeadSource NULLS LAST"
249,"SELECT Department,Department FROM Contact ORDER BY Department"
250,"SELECT Department,Email FROM Contact ORDER BY LeadSource NULLS LAST"
251,"SELECT MiddleName,JobFamily__c FROM User GROUP BY JobFamily__c"
252,"SELECT AccountId,Quantity,AccountId FROM Asset"
253,"SELECT Id,MobilePhone FROM Lead GROUP BY IsConverted"
254,"SELECT IsClosed,Type FROM Opportunity ORDER BY Probability DESC NULLS LAST"
255,"SELECT Department,Department FROM Contact ORDER BY LastName"
256,"SELECT EndDate,Name FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
257,"SELECT FirstName,IsPersonAccount FROM Contact ORDER BY FirstName"
258,"SELECT Username,ManagerId,Username FROM User"
259,"SELECT Email,LeadSource,Email FROM Contact"
260,"SELECT Title,JobProfile__c FROM User ORDER BY Department DESC"
261,"SELECT ShippingState,BillingCountry FROM Order ORDER BY Name DESC NULLS LAST"
262,"SELECT AboutMe,Business_Unit__c FROM User ORDER BY Department DESC NULLS LAST"
263,SELECT JobProfile__c FROM User GROUP BY Country
264,"SELECT ShippingCity,BillingPhoneNumber FROM Order ORDER BY OrderedDate DESC"
265,"SELECT IsPersonAccount,Email FROM Contact ORDER BY LastName NULLS LAST"
266,"SELECT Id,BillingCountry FROM Order GROUP BY Type"
267,"SELECT Name,AnnualRevenue FROM Lead ORDER BY NumberOfEmployees NULLS LAST"
268,"SELECT BillingCountry,AccountNumber FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
269,"SELECT Company,Name FROM Lead ORDER BY Rating NULLS LAST LIMIT 1"
270,"SELECT OwnerId,ContactId FROM Opportunity ORDER BY Amount DESC"
271,"SELECT DeveloperName,Name FROM Document ORDER BY Name NULLS LAST"
272,SELECT Title FROM User GROUP BY Division
273,"SELECT Ownership,Name,Ownership FROM Account"
274,"SELECT AnnualRevenue,Website FROM Account ORDER BY NumberOfEmployees DESC NULLS LAST"
275,"SELECT TotalAmount,ShippingCountry FROM Order ORDER BY TotalAmount DESC NULLS LAST"
276,"SELECT AssetLevel,Id,AssetLevel FROM Asset"
277,"SELECT AccountId,Price FROM Asset ORDER BY Price DESC"
278,"SELECT AccountId,TotalAmount FROM Order ORDER BY TotalAmount DESC"
279,"SELECT Type,LeadSource FROM Opportunity ORDER BY Name NULLS LAST"
280,"SELECT Company,State FROM Lead ORDER BY FirstName"
281,"SELECT State,IsConverted FROM Lead ORDER BY LastName DESC"
282,"SELECT GrandTotalAmount,ShippingCountry FROM Order ORDER BY TotalAmount"
283,"SELECT Title,JobProfile__c FROM User ORDER BY LastName"
284,"SELECT Ownership,Type,Ownership FROM Account"
285,"SELECT AnnualRevenue,Company FROM Lead ORDER BY LastName NULLS LAST"
286,SELECT BillingCountry FROM Order
287,"SELECT ContactId,Status FROM Asset ORDER BY Quantity"
288,"SELECT BillingStreet,BillingStreet FROM Account ORDER BY Name DESC"
289,"SELECT Email,LastName FROM Lead GROUP BY Rating"
290,"SELECT AccountId,OrderedDate FROM Order ORDER BY OrderedDate DESC"
291,"SELECT BillingState,Status FROM Order ORDER BY GrandTotalAmount DESC"
292,"SELECT NextStep,LeadSource FROM Opportunity ORDER BY LeadSource DESC"
293,"SELECT Id,ManagerId FROM User ORDER BY LastName NULLS LAST"
294,"SELECT LeadSource,Phone FROM Contact ORDER BY LastName DESC"
295,"SELECT Division,JobProfile__c FROM User ORDER BY Name DESC NULLS LAST"
296,"SELECT IsPersonAccount,Id,IsPersonAccount FROM Contact"
297,"SELECT CompanyName,JobProfile__c FROM User ORDER BY LastName NULLS LAST"
298,SELECT LeadSource FROM Contact
299,"SELECT Status,AccountId FROM Asset ORDER BY Price DESC NULLS LAST"
300,"SELECT IsPersonAccount,Ownership FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
301,"SELECT AboutMe,Business_Unit__c FROM User GROUP BY JobProfile__c"
302,"SELECT NextStep,LeadSource FROM Opportunity ORDER BY Amount DESC NULLS LAST LIMIT 1"
303,"SELECT Id,Phone FROM Lead ORDER BY FirstName"
304,"SELECT Ownership,Phone FROM Account ORDER BY AnnualRevenue"
305,"SELECT Business_Unit__c,Country FROM User ORDER BY Department DESC NULLS LAST"
306,"SELECT BillingPhoneNumber,ShippingCountry FROM Order ORDER BY TotalAmount DESC"
307,"SELECT State,MobilePhone FROM Lead ORDER BY LastName DESC"
308,"SELECT OwnerId,ContactId FROM Opportunity ORDER BY Probability NULLS LAST LIMIT 1"
309,"SELECT IsPersonAccount,Name FROM Contact ORDER BY Department NULLS LAST"
310,"SELECT Body,Author.Name FROM Document ORDER BY Name"
311,"SELECT Name,AnnualRevenue FROM Lead ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
312,SELECT State FROM Lead GROUP BY City
313,"SELECT Status,ClosedDate FROM Case"
314,SELECT count(id) FROM Asset
315,"SELECT Name,AccountId FROM Opportunity"
316,"SELECT LastName,IsConverted FROM Lead ORDER BY AnnualRevenue NULLS LAST LIMIT 1"
317,"SELECT Department,EmployeeNumber FROM User ORDER BY Department"
318,"SELECT BillingStreet,BillingCity FROM Account ORDER BY NumberOfEmployees NULLS LAST"
319,"SELECT OwnerId,Comments FROM Case ORDER BY ClosedDate NULLS LAST"
320,"SELECT CompanyName,JobProfile__c FROM User ORDER BY LastName"
321,"SELECT Rating,Status FROM Lead ORDER BY AnnualRevenue"
322,"SELECT Id,Id FROM Lead ORDER BY Rating DESC"
323,"SELECT BillingStreet,BillingStreet FROM Account ORDER BY NumberOfEmployees NULLS LAST LIMIT 1"
324,"SELECT Id,IsPersonAccount FROM Contact ORDER BY Department DESC"
325,"SELECT Department,UserType FROM User GROUP BY Division"
326,"SELECT Id,BillingCountry FROM Order ORDER BY TotalAmount NULLS LAST LIMIT 1"
327,"SELECT BillingCity,BillingCity FROM Order ORDER BY OrderedDate"
328,"SELECT Quantity,Name FROM Asset GROUP BY Status"
329,SELECT Description FROM Account GROUP BY Type
330,"SELECT Division,JobProfile__c FROM User ORDER BY FirstName DESC NULLS LAST"
331,"SELECT AnnualRevenue,Id FROM Account ORDER BY AnnualRevenue NULLS LAST"
332,"SELECT Name,ContactId FROM Asset ORDER BY Name DESC NULLS LAST"
333,"SELECT ShippingCountry,Name FROM Order GROUP BY BillingState"
334,"SELECT ContactId,SerialNumber FROM Asset ORDER BY Name"
335,SELECT Url FROM Document
336,"SELECT Description,Author.Name FROM Document ORDER BY Name NULLS LAST"
337,"SELECT AccountId,LastName FROM Contact GROUP BY Department"
338,"SELECT IsClosed,FiscalQuarter FROM Opportunity ORDER BY Amount DESC"
339,"SELECT StageName,Id FROM Opportunity GROUP BY Type"
340,"SELECT Price,AssetLevel FROM Asset ORDER BY Price"
341,"SELECT BillingCountry,IsPersonAccount FROM Account GROUP BY BillingCountry"
342,"SELECT Ownership,AnnualRevenue FROM Account ORDER BY Name NULLS LAST"
343,"SELECT AnnualRevenue,Website FROM Account ORDER BY AnnualRevenue NULLS LAST"
344,"SELECT ContactId,SerialNumber FROM Asset ORDER BY Quantity DESC NULLS LAST"
345,SELECT Country FROM Lead
346,"SELECT AboutMe,Department FROM User GROUP BY City"
347,"SELECT AboutMe,Business_Unit__c FROM User GROUP BY City"
348,"SELECT LeadSource,FirstName FROM Contact ORDER BY LeadSource DESC"
349,"SELECT Id,AccountId FROM Opportunity ORDER BY Name"
350,"SELECT JobFamily__c,Region__c FROM User ORDER BY FirstName DESC"
351,"SELECT JobFamily__c,Region__c FROM User GROUP BY JobFamily__c"
352,"SELECT LeadSource,IsPersonAccount FROM Contact GROUP BY Department"
353,"SELECT Id,Id FROM Lead GROUP BY IsConverted"
354,"SELECT ClosedDate,Origin,ClosedDate FROM Case"
355,"SELECT Phone,Description FROM Lead ORDER BY Rating DESC NULLS LAST"
356,"SELECT ShippingCity,BillingState FROM Order GROUP BY Status"
357,"SELECT DeveloperName,Author.Name,DeveloperName FROM Document"
358,"SELECT ShippingCity,BillingState FROM Order GROUP BY BillingCity"
359,"SELECT BillingPhoneNumber,ShippingCountry FROM Order ORDER BY GrandTotalAmount NULLS LAST LIMIT 1"
360,"SELECT AccountId,HasOpenActivity FROM Opportunity ORDER BY Amount NULLS LAST"
361,"SELECT LeadSource,HasOpenActivity FROM Opportunity"
362,"SELECT IsPersonAccount,LastName FROM Contact ORDER BY Name NULLS LAST"
363,"SELECT FirstName,MobilePhone FROM Lead"
364,"SELECT AccountId,Name FROM Contact ORDER BY FirstName DESC NULLS LAST"
365,"SELECT BillingPostalCode,Ownership FROM Account GROUP BY BillingState"
366,"SELECT Id,ContactPhone,Id FROM Case"
367,"SELECT LastName,Department FROM Contact"
368,"SELECT FirstName,Rating FROM Lead ORDER BY LastName NULLS LAST"
369,"SELECT ShippingState,ShippingState FROM Order ORDER BY OrderedDate DESC NULLS LAST"
370,"SELECT OwnerId,ShippingState FROM Order ORDER BY TotalAmount DESC NULLS LAST LIMIT 1"
371,"SELECT BillingCountry,AccountId FROM Order ORDER BY Name DESC NULLS LAST"
372,"SELECT AccountId,Status FROM Asset ORDER BY Quantity DESC NULLS LAST LIMIT 1"
373,"SELECT Username,State FROM User GROUP BY JobProfile__c"
374,"SELECT Name,Industry FROM Account GROUP BY BillingCountry"
375,"SELECT Email,Name FROM Contact ORDER BY FirstName"
376,"SELECT AccountId,Name FROM Contact ORDER BY Name DESC"
